keyword,function_name,equipment_category_large,equipment_category_middle,confidence,company_count,source_match_count,equipment_count,hub_count,source_fields,source_examples,equipment_examples,discovery_method,evidence_template
시제품,시제품 관련 장비 검증,기계가공/시험장비,재료물성시험장비,0.920,6,9,6,4,btp_support_history.support_item,기업 #117#117 | btp_support_history.support_item | 고액분리기 고정밀 고강성 여과망 개발을 위한 트라이바 시제품 제작 || 기업 #616#616 | btp_support_history.support_item | 스테인리스강 이형형상 소재 제조를 위한 최적화 냉간가공 인발 금형 설계 및 시제품 제작 || 기업 #1730#1730 | btp_support_history.support_item | 수밀성(Water-tight)이 향상된 경량 해치 커버 시제품 개발 및 사업화 || 기업 #1786#1786 | btp_support_history.support_item | Dynamic Balance 데이터 및 할룩스 매직 인솔을 활용한 운동 APP 시제품 개발 || 기업 #1786#1786 | btp_support_history.support_item | 압전 에너지 하베스팅을 적용한 에코 할룩스 매직 기능성 인솔 시제품 제작,선용품 종합정보관리시스템(시제품 시작품 시험설비 제작)#248 | 데이터처리장비 > 하드웨어 > 서버 @ 영도단지 || 온도가속시험기#323 | 기계가공/시험장비 > 재료물성시험장비 > 열충격시험기 @ 지사단지 || 복합재료 프리폼 제조용 3D 브레이딩 시스템#361 | 기계가공/시험장비 > 섬유기계장비 > 직기 @ 미음단지 || 시제품 설계 소프트웨어#424 | 데이터처리장비 > 장비소프트웨어 > 달리 분류되지 않는 장비소프트웨어 @ 다대단지 || 자외선 경화기#441 | 기계가공/시험장비 > 재료물성시험장비 > 자외선시험기 @ 지사단지,direct-text-overlap,지원품목 데이터 9건에서 '{keyword}'가 반복되고 재료물성시험장비 분류 장비 6건과 맞물려 {functionName}으로 보았습니다
AR,데이터/실감형 콘텐츠 검증,데이터처리장비,,0.910,4,5,29,7,"btp_support_history.main_product, btp_support_history.support_item","기업 #117#117 | btp_support_history.main_product | 고액분리기(SOLID LIQUID SEPARATOR) || 기업 #672#672 | btp_support_history.support_item | Marintec China 2023 || 기업 #1049#1049 | btp_support_history.main_product | VR교육훈련장비, VR콘텐츠, AR/VR 시뮬레이터 || 기업 #1049#1049 | btp_support_history.support_item | 전시장 및 주요 관광지 전망대용 증강현실(AR) 기반 망원경 기술사업화 || 기업 #1730#1730 | btp_support_history.support_item | 영하 52℃ ARC7 ICE등급 및 IMO Polar Code를 만족하는 Mushroom Ventilator 사업화 지원",엔지니어링 협업 시스템#9 | 데이터처리장비 > 하드웨어 > 서버 @ 다대단지 || 주조성형해석프로그램#27 | 데이터처리장비 > 장비소프트웨어 > 계측/분석소프트웨어 @ 지사단지 || 논리설계 검증 소프트웨어#44 | 데이터처리장비 > 장비소프트웨어 > 연구장비기반소프트웨어 @ 지사단지 || 산업안전빅데이터플랫폼#52 | 데이터처리장비 > 하드웨어 > 서버 @ 수안단지 || 5G기반 드론 통합 관제 시스템#88 | 데이터처리장비 > 하드웨어 > 달리 분류되지 않는 하드웨어,profile,{sourceField}에 적힌 '{keyword}'가 4개 기업 이력에서 확인되어 {functionName} 연결 근거가 됩니다
기자재,기자재 관련 장비 검증,환경조성/생산/사육시설장비,환경조성형시설장비,0.790,3,6,1,1,"btp_support_history.main_product, company.main_product, company_ntis_lead_project.project_name","기업 #1049#1049 | company_ntis_lead_project.project_name | 해양수산산업 핵심 기자재 국산화 및 표준화 기술개발 || 기업 #1730#1730 | btp_support_history.main_product | 선박용 기자재 || 기업 #1730#1730 | btp_support_history.main_product | 해치커버, 댐퍼, L.A.V, 압력용기 외 선박용 기자재 || 기업 #1730#1730 | company.main_product | 해치커버, 댐퍼, L.A.V, 압력용기 외 선박용 기자재 || 기업 #2080#2080 | company_ntis_lead_project.project_name | 해양수산산업 핵심 기자재 국산화 및 표준화 기술개발",일상생활 실증평가실#11 | 환경조성/생산/사육시설장비 > 환경조성형시설장비 > 사용환경모사시설장비 @ 다대단지,direct-text-overlap,{sourceField}의 '{keyword}' 단서가 1개 거점 장비와 이어져 {functionName} 검토 대상으로 분류했습니다
압력,압력/유체특성시험,물리적측정장비,힘/토오크/압력/진공측정장비,0.875,3,5,26,5,"btp_support_history.main_product, btp_support_history.support_item, company.main_product","기업 #672#672 | btp_support_history.main_product | 열교환기, 압력용기 || 기업 #672#672 | company.main_product | 열교환기, 압력용기 || 기업 #1730#1730 | btp_support_history.main_product | 해치커버, 댐퍼, L.A.V, 압력용기 외 선박용 기자재 || 기업 #1730#1730 | company.main_product | 해치커버, 댐퍼, L.A.V, 압력용기 외 선박용 기자재 || 기업 #1786#1786 | btp_support_history.support_item | 보행 시 발 아치 능동적 교정 및 신체 압력 중심 이동 궤적 개선을 통한 고령자 맞춤형 발바닥 근육 강화 인솔 개발",필름형 압력 측정 장비#111 | 물리적측정장비 > 힘/토오크/압력/진공측정장비 > 달리 분류되지 않는 힘/토오크/압력/진공 측정장비 @ 다대단지 || 전기차 파워트레인 다이나모 시스템#115 | 물리적측정장비 > 힘/토오크/압력/진공측정장비 > 동력계 @ 생곡단지 || 휴대용 지면반력 측정 장비#131 | 물리적측정장비 > 힘/토오크/압력/진공측정장비 > 달리 분류되지 않는 힘/토오크/압력/진공 측정장비 @ 다대단지 || 샤시다이나모미터#140 | 물리적측정장비 > 힘/토오크/압력/진공측정장비 > 동력계 @ 지사단지 || 맨발 족저압력 및 보행분석 시스템#141 | 물리적측정장비 > 힘/토오크/압력/진공측정장비 > 달리 분류되지 않는 힘/토오크/압력/진공 측정장비 @ 녹산단지,profile,3개 기업과 5개 거점에서 '{keyword}' 연결이 반복되어 {functionName} 근거로 채택했습니다
소재,재료물성시험,기계가공/시험장비,재료물성시험장비,0.795,3,4,61,8,"btp_support_history.main_product, btp_support_history.support_item, company_ntis_lead_project.project_name",기업 #616#616 | btp_support_history.support_item | 스테인리스강 이형형상 소재 제조를 위한 최적화 냉간가공 인발 금형 설계 및 시제품 제작 || 기업 #695#695 | btp_support_history.support_item | 생체소재 || 기업 #695#695 | company_ntis_lead_project.project_name | 소재부품기술개발(R&D) || 기업 #1178#1178 | btp_support_history.main_product | 초정밀소재부품,미세먼지 간이측정기 등가성 평가장비#6 | 기계가공/시험장비 > 재료물성시험장비 > 분진시험기 @ 지사단지 || 비틀림시험기#24 | 기계가공/시험장비 > 재료물성시험장비 > 만능피로시험기 @ 지사단지 || 동적하중 만능재료시험기#26 | 기계가공/시험장비 > 재료물성시험장비 > 진동내구시험장비 @ 지사단지 || 인장시험기#32 | 기계가공/시험장비 > 재료물성시험장비 > 만능시험기 @ 지사단지 || 열충격 시험기#74 | 기계가공/시험장비 > 재료물성시험장비 > 열충격시험기 @ 장안단지,profile,기계가공/시험장비 분류의 연결 장비가 61건 확인되어 '{keyword}'를 {functionName} 판단 단서로 삼았습니다
선박,선박 관련 장비 검증,물리적측정장비,길이/위치/자세측정장비,0.800,2,9,4,2,"btp_support_history.main_product, btp_support_history.support_item, company.main_product","기업 #2080#2080 | btp_support_history.main_product | 선박 내 사고방지 시스템 || 기업 #2080#2080 | btp_support_history.support_item | 선박 HVAC에 적용되는 UV-C 살균장치 || 기업 #2080#2080 | btp_support_history.support_item | 선박 전방위 감시 시스템 시제품 || 기업 #2379#2379 | btp_support_history.main_product | 선박 구성 부분품 || 기업 #2379#2379 | btp_support_history.main_product | 선박 파공방수패드, 원격 탈부착 사다리, 사다리 고정장치, 잔존유 배출장치, 화재 예방 제",고정식 3차원측정기#152 | 물리적측정장비 > 길이/위치/자세측정장비 > 위치/자세측정장비 @ 지사단지 || 이동식 3차원 위치 측정기#155 | 물리적측정장비 > 길이/위치/자세측정장비 > 길이측정장비 @ 지사단지 || 해양지원선 엔지니어링 가상시스템#311 | 기계가공/시험장비 > 자동화/이송 장비 > 위치제어장비 || 복합소재 발연성 및 유독가스 측정장비#374 | 기계가공/시험장비 > 달리 분류되지 않는 기계가공/시험장비 > 소분류 선택 @ 미음단지,direct-text-overlap,{sourceField}에 적힌 '{keyword}'가 2개 기업 이력에서 확인되어 {functionName} 연결 근거가 됩니다
압력용기,압력용기 관련 장비 검증,기계가공/시험장비,자동화/이송 장비,0.740,2,4,2,1,"btp_support_history.main_product, company.main_product","기업 #672#672 | btp_support_history.main_product | 열교환기, 압력용기 || 기업 #672#672 | company.main_product | 열교환기, 압력용기 || 기업 #1730#1730 | btp_support_history.main_product | 해치커버, 댐퍼, L.A.V, 압력용기 외 선박용 기자재 || 기업 #1730#1730 | company.main_product | 해치커버, 댐퍼, L.A.V, 압력용기 외 선박용 기자재",산업용 드론 플랫폼 수중#201 | 기계가공/시험장비 > 자동화/이송 장비 > 달리 분류되지 않는 자동화/이송장비 @ 지사단지 || 산업용 드론 플랫폼 수중#331 | 기계가공/시험장비 > 자동화/이송 장비 > 달리 분류되지 않는 자동화/이송장비 @ 지사단지,direct-text-overlap,{sourceField}의 '{keyword}' 제품 표현이 2개 기업에서 확인되어 {functionName} 근거로 사용했습니다
인건비,인건비 관련 장비 검증,환경조성/생산/사육시설장비,환경조성형시설장비,0.735,2,4,1,1,btp_support_history.support_item,기업 #695#695 | btp_support_history.support_item | 인건비 및 인센티브 지원 || 기업 #695#695 | btp_support_history.support_item | 인건비 지원 || 기업 #1730#1730 | btp_support_history.support_item | 채용인력 인건비 지원,일상생활 실증평가실#11 | 환경조성/생산/사육시설장비 > 환경조성형시설장비 > 사용환경모사시설장비 @ 다대단지,direct-text-overlap,기업 문구와 장비 정보 양쪽에 '{keyword}'가 직접 나타나고 장비 1건이 확인되어 {functionName}으로 연결했습니다
기술개발,기술개발 관련 장비 검증,환경조성/생산/사육시설장비,환경조성형시설장비,0.725,2,3,1,1,company_ntis_lead_project.project_name,기업 #1049#1049 | company_ntis_lead_project.project_name | 해양수산산업 핵심 기자재 국산화 및 표준화 기술개발 || 기업 #2080#2080 | company_ntis_lead_project.project_name | 해양수산산업 핵심 기자재 국산화 및 표준화 기술개발 || 기업 #2080#2080 | company_ntis_lead_project.project_name | 해양수산산업 핵심 기자재 국산화 및 표준화 기술개발(R&D),부산 해양신산업 오픈플랫폼 청정작업실#348 | 환경조성/생산/사육시설장비 > 환경조성형시설장비 > 항온/항습시설장비 @ 영도단지,direct-text-overlap,NTIS 과제와 기업 데이터 3건에서 '{keyword}'가 확인되어 환경조성/생산/사육시설장비 기반 {functionName}과 연결했습니다
표준화,표준화 관련 장비 검증,임상의료장비,전문의학용특수장비,0.725,2,3,1,1,company_ntis_lead_project.project_name,기업 #1049#1049 | company_ntis_lead_project.project_name | 해양수산산업 핵심 기자재 국산화 및 표준화 기술개발 || 기업 #2080#2080 | company_ntis_lead_project.project_name | 해양수산산업 핵심 기자재 국산화 및 표준화 기술개발 || 기업 #2080#2080 | company_ntis_lead_project.project_name | 해양수산산업 핵심 기자재 국산화 및 표준화 기술개발(R&D),균형 측정 평가 장비#160 | 임상의료장비 > 전문의학용특수장비 > 재활치료용검사장비 @ 다대단지,direct-text-overlap,연구개발 과제 문맥에 '{keyword}'가 나타나고 연결 장비 1건이 확인되어 {functionName} 근거로 삼았습니다
