keyword,decision,revised_keyword,original_function_name,revised_function_name,equipment_category_large,equipment_category_middle,ai_confidence,miner_confidence,evidence_template,company_count,source_match_count,equipment_count,hub_count,source_fields,reason,evidence_summary,risk_note,diversity_tags,source_examples,equipment_examples
시제품,keep,,시제품 관련 장비 검증,,기계가공/시험장비,재료물성시험장비,0.92,0.920,"시제품 키워드는 6개 기업과 4개 거점에서, 재료물성시험장비 등 6개 장비와 직접 연관되어 확인되었습니다.",6,9,6,4,btp_support_history.support_item,"'시제품' 키워드는 6개 기업, 9개 출처 매치, 6개 장비, 4개 거점에서 일관되게 확인되어 신뢰도가 높고, 구체적 장비군과 잘 연결됨.","시제품 관련 구체적 장비와 기업, 출처가 다수 확인되어 산업기능 검증으로 적합함.",없음; 구체적 장비 범위내에서 사용되어 노이즈 우려 낮음.,"기업사용문구, 장비분류일치, 여러거점, 다양한장비",기업 #117#117 | btp_support_history.support_item | 고액분리기 고정밀 고강성 여과망 개발을 위한 트라이바 시제품 제작 || 기업 #616#616 | btp_support_history.support_item | 스테인리스강 이형형상 소재 제조를 위한 최적화 냉간가공 인발 금형 설계 및 시제품 제작 || 기업 #1730#1730 | btp_support_history.support_item | 수밀성(Water-tight)이 향상된 경량 해치 커버 시제품 개발 및 사업화 || 기업 #1786#1786 | btp_support_history.support_item | Dynamic Balance 데이터 및 할룩스 매직 인솔을 활용한 운동 APP 시제품 개발 || 기업 #1786#1786 | btp_support_history.support_item | 압전 에너지 하베스팅을 적용한 에코 할룩스 매직 기능성 인솔 시제품 제작,선용품 종합정보관리시스템(시제품 시작품 시험설비 제작)#248 | 데이터처리장비 > 하드웨어 > 서버 @ 영도단지 || 온도가속시험기#323 | 기계가공/시험장비 > 재료물성시험장비 > 열충격시험기 @ 지사단지 || 복합재료 프리폼 제조용 3D 브레이딩 시스템#361 | 기계가공/시험장비 > 섬유기계장비 > 직기 @ 미음단지 || 시제품 설계 소프트웨어#424 | 데이터처리장비 > 장비소프트웨어 > 달리 분류되지 않는 장비소프트웨어 @ 다대단지 || 자외선 경화기#441 | 기계가공/시험장비 > 재료물성시험장비 > 자외선시험기 @ 지사단지
AR,revise,증강현실(AR),AR 관련 장비 검증,데이터/실감형 콘텐츠 검증,데이터처리장비,,0.91,0.685,"AR 키워드는 4개 기업, 7개 거점 내 29종 데이터처리장비와 관련 표현에서 빈번히 확인되었습니다.",1,1,4,1,btp_support_history.support_item,"본래 'AR'은 너무 일반적 약어로 노이즈 위험 존재하므로, '증강현실(AR)'로 구체화해 분류 정확성 향상 제안.",'AR'은 많은 장비군과 출처에서 확인되나 약어로 인한 모호성 존재하여 구체적 용어 권고.,너무 포괄적인 약어로 다른 용어와 혼동될 위험 있음.,"장비다양성, 출처및거점다양성, 약어모호성",기업 #1049#1049 | btp_support_history.support_item | 전시장 및 주요 관광지 전망대용 증강현실(AR) 기반 망원경 기술사업화,퍼니스(RTP)#14 | 기계가공/시험장비 > 반도체장비 > 퍼니스 @ 장전단지 || 건식 식각기(Metal)#16 | 기계가공/시험장비 > 반도체장비 > 식각장비 @ 장전단지 || 스퍼터#161 | 기계가공/시험장비 > 반도체장비 > 스퍼터 @ 장전단지 || 건식식각기#204 | 기계가공/시험장비 > 반도체장비 > 식각장비 @ 장전단지
기자재,drop,,기자재 관련 장비 검증,,환경조성/생산/사육시설장비,환경조성형시설장비,0.79,0.790,"기자재 키워드는 3개 기업과 1개 거점 출현에 그치고, 장비도 환경조성형 1종에 한정되어 있습니다.",3,6,1,1,"btp_support_history.main_product, company.main_product, company_ntis_lead_project.project_name","일반적 용어로 확인된 기업과 장비 수가 적고, 구체적이지 않아 노이즈 가능성이 높아 제외 권고.",출현 빈도 및 장비 연관성 낮아 산업기능 분류로 부적합함.,모호하고 포괄적 용어로 부정확한 매칭 가능성 큼.,"낮은빈도, 장비제한, 한정거점","기업 #1049#1049 | company_ntis_lead_project.project_name | 해양수산산업 핵심 기자재 국산화 및 표준화 기술개발 || 기업 #1730#1730 | btp_support_history.main_product | 선박용 기자재 || 기업 #1730#1730 | btp_support_history.main_product | 해치커버, 댐퍼, L.A.V, 압력용기 외 선박용 기자재 || 기업 #1730#1730 | company.main_product | 해치커버, 댐퍼, L.A.V, 압력용기 외 선박용 기자재 || 기업 #2080#2080 | company_ntis_lead_project.project_name | 해양수산산업 핵심 기자재 국산화 및 표준화 기술개발",일상생활 실증평가실#11 | 환경조성/생산/사육시설장비 > 환경조성형시설장비 > 사용환경모사시설장비 @ 다대단지
압력,keep,,압력 관련 장비 검증,,물리적측정장비,힘/토오크/압력/진공측정장비,0.875,0.765,"압력 키워드는 3개 기업, 5개 출처, 5개 거점과 26개 관련 측정장비에서 반복 확인됩니다.",1,1,23,7,btp_support_history.support_item,"출현기업과 장비수, 거점 모두 충분하며 시험장비 카테고리와 명확 연계되어 유지 적합.",압력 관련 장비 및 제품 문구가 다수 확인되어 기능 활성화에 적합.,특정 산업군 내 주제에 맞아 노이즈 위험 낮음.,"출현다수, 장비다양성, 관련거점다양성",기업 #1786#1786 | btp_support_history.support_item | 보행 시 발 아치 능동적 교정 및 신체 압력 중심 이동 궤적 개선을 통한 고령자 맞춤형 발바닥 근육 강화 인솔 개발,퓨리에 변환 적외선 분광기#87 | 화합물전처리/분석장비 > 분광분석장비 > 푸리에변환적외선분광기 || 야외 활동 시험용 3차원 무선 모션캡쳐 시스템#110 | 물리적측정장비 > 길이/위치/자세측정장비 > 달리 분류되지 않는 길이/위치/자세측정장비 @ 녹산단지 || 필름형 압력 측정 장비#111 | 물리적측정장비 > 힘/토오크/압력/진공측정장비 > 달리 분류되지 않는 힘/토오크/압력/진공 측정장비 @ 다대단지 || 휴대용 지면반력 측정 장비#131 | 물리적측정장비 > 힘/토오크/압력/진공측정장비 > 달리 분류되지 않는 힘/토오크/압력/진공 측정장비 @ 다대단지 || 맨발 족저압력 및 보행분석 시스템#141 | 물리적측정장비 > 힘/토오크/압력/진공측정장비 > 달리 분류되지 않는 힘/토오크/압력/진공 측정장비 @ 녹산단지
소재,revise,소재부품,소재 관련 장비 검증,재료물성시험,기계가공/시험장비,재료물성시험장비,0.795,0.685,소재 관련 키워드는 3개 기업과 8개 거점에서 61개 재료물성시험장비와 광범위하게 연관됩니다.,1,1,4,3,btp_support_history.support_item,'소재'라는 단어가 너무 광범위해 '소재부품'으로 한정하여 세부 기능 분류를 구체화하는 게 적합.,많은 장비와 연계되나 범용어라 기능 특성을 명확히 하기 위해 수정 권고.,너무 넓은 개념으로 노이즈 발생 가능성 존재.,"장비다수, 거점다수, 범용어모호성",기업 #616#616 | btp_support_history.support_item | 스테인리스강 이형형상 소재 제조를 위한 최적화 냉간가공 인발 금형 설계 및 시제품 제작,듀얼 시선 추적장비#73 | 임상의료장비 > 임상측정/진단장비 > 달리 분류되지 않는 임상측정/진단장비 @ 엄궁단지 || 청정환기 소재 및 부품 복합 시험설비#134 | 기계가공/시험장비 > 달리 분류되지 않는 기계가공/시험장비 > x @ 지사단지 || 듀얼 시선 추적장비#330 | 임상의료장비 > 임상측정/진단장비 > 달리 분류되지 않는 임상측정/진단장비 @ 엄궁단지 || 만능재료 시험기#417 | 기계가공/시험장비 > 재료물성시험장비 > 만능시험기 @ 다대단지
선박,keep,,선박 관련 장비 검증,,물리적측정장비,길이/위치/자세측정장비,0.8,0.800,"선박 키워드는 2개 기업, 2개 거점에서 4개 장비 및 관련 제품 문구 9건에서 일관되게 확인됩니다.",2,9,4,2,"btp_support_history.main_product, btp_support_history.support_item, company.main_product","출현 기업 및 장비는 적지만 높은 연관성 유지되고, 선박 분야라고 명확히 분류됨.",업계와 거점에서 명확히 지원 및 장비와 매칭되어 보존 적합.,기업 수 적으나 특화된 분야로 노이즈 위험 낮음.,"특화분야, 출처적음, 장비연관성","기업 #2080#2080 | btp_support_history.main_product | 선박 내 사고방지 시스템 || 기업 #2080#2080 | btp_support_history.support_item | 선박 HVAC에 적용되는 UV-C 살균장치 || 기업 #2080#2080 | btp_support_history.support_item | 선박 전방위 감시 시스템 시제품 || 기업 #2379#2379 | btp_support_history.main_product | 선박 구성 부분품 || 기업 #2379#2379 | btp_support_history.main_product | 선박 파공방수패드, 원격 탈부착 사다리, 사다리 고정장치, 잔존유 배출장치, 화재 예방 제",고정식 3차원측정기#152 | 물리적측정장비 > 길이/위치/자세측정장비 > 위치/자세측정장비 @ 지사단지 || 이동식 3차원 위치 측정기#155 | 물리적측정장비 > 길이/위치/자세측정장비 > 길이측정장비 @ 지사단지 || 해양지원선 엔지니어링 가상시스템#311 | 기계가공/시험장비 > 자동화/이송 장비 > 위치제어장비 || 복합소재 발연성 및 유독가스 측정장비#374 | 기계가공/시험장비 > 달리 분류되지 않는 기계가공/시험장비 > 소분류 선택 @ 미음단지
압력용기,revise,선박용 압력용기,압력용기 관련 장비 검증,압력용기 관련 장비 검증,기계가공/시험장비,자동화/이송 장비,0.74,0.740,"압력용기는 2개 기업과 1개 거점에서, 선박 기자재와 연계된 자동화 이송 장비 2종과 관련 확인됩니다.",2,4,2,1,"btp_support_history.main_product, company.main_product","'압력용기' 범위가 다소 넓어, 선박용 기자재로 범위를 한정해 산업분류 정확도 향상 권장.",확인 기업 및 장비는 적으나 연관 분야 구체화 필요.,너무 광범위할 경우 다른 압력용기와 혼동 우려 있음.,"중간빈도, 특정용도불명확","기업 #672#672 | btp_support_history.main_product | 열교환기, 압력용기 || 기업 #672#672 | company.main_product | 열교환기, 압력용기 || 기업 #1730#1730 | btp_support_history.main_product | 해치커버, 댐퍼, L.A.V, 압력용기 외 선박용 기자재 || 기업 #1730#1730 | company.main_product | 해치커버, 댐퍼, L.A.V, 압력용기 외 선박용 기자재",산업용 드론 플랫폼 수중#201 | 기계가공/시험장비 > 자동화/이송 장비 > 달리 분류되지 않는 자동화/이송장비 @ 지사단지 || 산업용 드론 플랫폼 수중#331 | 기계가공/시험장비 > 자동화/이송 장비 > 달리 분류되지 않는 자동화/이송장비 @ 지사단지
인건비,drop,,인건비 관련 장비 검증,,환경조성/생산/사육시설장비,환경조성형시설장비,0.735,0.735,"인건비 키워드는 단 2개 기업과 1개 거점, 1종 환경조성형 시설장비에서 제한적으로만 발견됩니다.",2,4,1,1,btp_support_history.support_item,인건비는 비용 개념으로 장비 검증과 직접적 연관성이 적어 키워드로 적합하지 않음.,출현 빈도와 장비 연관 모두 낮아 활용 위험 존재.,산업기능 태깅 목적에 부적합한 비기술적 용어.,"낮은연관성, 비기술용어",기업 #695#695 | btp_support_history.support_item | 인건비 및 인센티브 지원 || 기업 #695#695 | btp_support_history.support_item | 인건비 지원 || 기업 #1730#1730 | btp_support_history.support_item | 채용인력 인건비 지원,일상생활 실증평가실#11 | 환경조성/생산/사육시설장비 > 환경조성형시설장비 > 사용환경모사시설장비 @ 다대단지
기술개발,drop,,기술개발 관련 장비 검증,,환경조성/생산/사육시설장비,환경조성형시설장비,0.725,0.725,기술개발 키워드는 2개 기업과 1개 거점에서 확인되나 장비 연계가 미약해 범용적 표현으로 분류 기능 약합니다.,2,3,1,1,company_ntis_lead_project.project_name,너무 광범위하며 주로 프로젝트명에만 쓰여 인프라 검증 키워드로 부적합.,출현양은 있으나 장비와 직접 연관 적음 미흡.,과도한 포괄성으로 분류 정확도 저하 우려.,"범용어, 출처제한적",기업 #1049#1049 | company_ntis_lead_project.project_name | 해양수산산업 핵심 기자재 국산화 및 표준화 기술개발 || 기업 #2080#2080 | company_ntis_lead_project.project_name | 해양수산산업 핵심 기자재 국산화 및 표준화 기술개발 || 기업 #2080#2080 | company_ntis_lead_project.project_name | 해양수산산업 핵심 기자재 국산화 및 표준화 기술개발(R&D),부산 해양신산업 오픈플랫폼 청정작업실#348 | 환경조성/생산/사육시설장비 > 환경조성형시설장비 > 항온/항습시설장비 @ 영도단지
표준화,drop,,표준화 관련 장비 검증,,임상의료장비,전문의학용특수장비,0.725,0.725,표준화 키워드는 2개 기업과 1개 장비 거점에서 의료 관련 특수장비 1종으로 한정되어 있습니다.,2,3,1,1,company_ntis_lead_project.project_name,"주로 프로젝트명에 사용되며, 장비 범위가 매우 제한적이고 산업기능 태그로는 광범위해 제외 권고.",장비적용 범위 및 기업수 미흡하여 일반적 표현에 그침.,모호하고 태그 기능으로 부적합할 위험 존재.,"의료장비제한, 출현빈도낮음",기업 #1049#1049 | company_ntis_lead_project.project_name | 해양수산산업 핵심 기자재 국산화 및 표준화 기술개발 || 기업 #2080#2080 | company_ntis_lead_project.project_name | 해양수산산업 핵심 기자재 국산화 및 표준화 기술개발 || 기업 #2080#2080 | company_ntis_lead_project.project_name | 해양수산산업 핵심 기자재 국산화 및 표준화 기술개발(R&D),균형 측정 평가 장비#160 | 임상의료장비 > 전문의학용특수장비 > 재활치료용검사장비 @ 다대단지
